3.289618407047064E-5;2000000;1;110
6.342813373707151E-4;2000000;1;115
2.3762975670247757E-5;2000000;1;95
9.71910348312585E-4;2000000;1;79
2.990032489201384E-4;2000000;1;79
1.6509256513581546E-4;2000000;1;79
2.066933819267998E-4;2000000;1;79
6.100897860207581E-4;2000000;1;78
2.758644055278501E-4;2000000;1;83
4.6494047792101646E-4;2000000;1;96
9.341252492828904E-6;2000000;2;94
2.525300055373115E-4;2000000;2;48
9.210182290059123E-5;2000000;2;62
1.9183059557531596E-4;2000000;2;54
1.8313845034915807E-4;2000000;2;47
1.315722487873854E-4;2000000;2;62
6.504173632669707E-4;2000000;2;47
2.0287366329262583E-4;2000000;2;43
2.080040839549217E-5;2000000;2;47
6.60004122335473E-5;2000000;2;48
7.405593768724863E-5;2000000;4;108
2.843609941556164E-4;2000000;4;47
4.445686452052335E-4;2000000;4;32
4.798032642725003E-4;2000000;4;46
8.80615726793141E-5;2000000;4;41
7.851227609387917E-5;2000000;4;34
2.1179034096930035E-6;2000000;4;31
1.3644467537936934E-4;2000000;4;34
6.408680666815358E-4;2000000;4;32
3.1428212345697564E-4;2000000;4;15
